heat_no,charge_mass_t,scrap_frac,dri_frac,pig_frac,returns_frac,charge_C_pct,charge_Si_pct,charge_Mn_pct,charge_Cu_pct,energy_kWh,power_on_min,avg_power_kW,O2_Nm3,flux_CaO_kg,hot_heel_t,lining_age_heats,tap_target_C,meas_T_C,meas_C_pct,meas_energy_kWh,true_T_C,true_C_pct,true_Cu_pct,SEC_kWh_per_t,tap_to_tap_min,B2,pct_FeO,phys_T_C,phys_C_pct,phys_SEC
1,12.238611307580413,1.0,0.0,0.0,0.0,0.3850672932223496,0.25195458551205874,0.29356593457373237,0.17247908216888252,6828.697569008309,120.0,3414.3487845041545,0.0,112.59522402973981,0.6152704277897774,1,1619.7089943275935,1578.2486516495355,0.3472999450334657,6828.697569008309,1577.7954157055224,0.35342048809548726,0.22138229006479743,653.6517978169647,120.0,2.418789946501593,1.0404662483684317,1623.3244522824011,0.38207207198540954,589.1987341560178
2,11.584706058225898,1.0,0.0,0.0,0.0,0.23645370808819782,0.28624561435737483,0.3319337581917823,0.16734695421258733,6472.635065068442,120.0,3236.3175325342213,0.0,106.57929573567827,0.5860407221751545,2,1619.6008960791034,1567.6152963686418,0.2821942784159271,6472.635065068442,1564.9463061253045,0.2764401880493025,0.164698134320441,680.5030948032328,120.0,2.3693881514519384,0.8546390332689304,1607.2379297559673,0.2358795417720188,606.4138593794754
3,12.0124767175568,1.0,0.0,0.0,0.0,0.33223533708438385,0.17321050324827023,0.24085008164370017,0.27493272743737296,7260.985561935632,120.0,3630.492780967816,0.0,110.51478580152256,0.7244233368831651,3,1618.8162946322057,1635.360876319161,0.30753017620664164,7260.985561935632,1639.817144891765,0.30757626207879585,0.25355788699406456,613.8202963883961,120.0,2.3980235758669095,1.4051063494848428,1721.998015954086,0.3290112871616571,604.4747842708749
4,11.629909644174571,1.0,0.0,0.0,0.0,0.3259658879616496,0.16517250847263057,0.38872878995348137,0.25346291635826385,7346.110932876208,112.5,3917.925830867311,0.0,106.99516872640606,0.25377646376517043,4,1623.1194458222035,1683.1492173884378,0.40372191924785844,7346.110932876208,1687.2839207167326,0.4040386445223218,0.19967083890621176,631.5964363030588,112.5,2.4817834718317564,1.4548115225781648,1775.5801800402887,0.32149486308483555,631.7070037334043
5,12.178105757104555,1.0,0.0,0.0,0.0,0.3896430142714091,0.1254772102058807,0.47122331013593105,0.14784430161407003,7379.719360443139,120.0,3689.8596802215693,0.0,112.03857296536191,0.4090066622327563,5,1619.040798204176,1640.702028069929,0.37506187093140814,7379.719360443139,1644.602637361044,0.37066752389238045,0.16454254710325683,613.1675589797826,120.0,2.506832053984304,1.7488879456488855,1726.0785298754786,0.3831490304239148,606.0482347180247
6,12.243060345041549,1.0,0.0,0.0,0.0,0.2598734557857316,0.1826098567944066,0.23662386424597878,0.2329796754046194,6982.776495826686,120.0,3491.388247913343,0.0,112.63615517438225,0.741785870296758,6,1618.7488689104923,1589.0499853029626,0.2704162059766113,6982.776495826686,1591.5781955187022,0.2774602838739209,0.257926937246282,629.7736317886164,120.0,2.4644615253087143,1.3130177779097199,1647.944948918509,0.2588062497356684,582.5840549040447
7,12.00297682067031,1.0,0.0,0.0,0.0,0.3689053933253796,0.17415227488389384,0.3659286263464778,0.12866827578014514,6005.306227017013,120.0,3002.6531135085065,0.0,110.42738675016686,0.897838170333627,7,1625.697179590412,1519.9152248806395,0.3513473470807147,6005.306227017013,1516.049436343756,0.35191018067720803,0.13347435293274357,948.8971752481442,120.0,2.477004051252071,1.0084958794380552,1549.9600584528253,0.36445333225506044,716.2642219654485
8,12.30080763539003,1.0,0.0,0.0,0.0,0.500478869003405,0.23745327909615024,0.25001251192600205,0.25132868722240687,7509.920437490801,114.0,3952.589703942527,0.0,113.16743024558828,0.9545950127080902,8,1614.8369063557964,1681.2593655852083,0.4213622794464736,7509.920437490801,1687.3133432142968,0.4220288988499949,0.2517069670848371,613.4734651986514,114.0,2.486711584245024,1.3621178226714525,1763.741696812784,0.4929574410727709,610.4625420708023
9,11.492395850522922,1.0,0.0,0.0,0.0,0.41241068516595714,0.2251354427814137,0.47548258741103483,0.13855340401675037,6060.967760796113,120.0,3030.4838803980565,0.0,105.73004182481088,0.3412177327712982,9,1626.9274184819178,1530.5020326821236,0.3810394927992412,6060.967760796113,1530.5879229502975,0.3898411554891695,0.14000916192083412,827.3933041218205,120.0,2.4599420658367364,0.9556232533576515,1563.778763261364,0.4071098039492752,678.8147385388268
10,11.60645546845257,1.0,0.0,0.0,0.0,0.05700248678519676,0.18906027862850497,0.5008227688644359,0.12559255543676368,7078.139981925241,120.0,3539.0699909626205,0.0,106.77939030976366,0.3234108557962332,10,1630.3318298631389,1622.8850536356845,0.05551600549343004,7078.139981925241,1617.0434265666463,0.05737034053986637,0.14355750228055075,626.4571546329453,120.0,2.4837801630334813,1.6916919753086306,1708.2737686605778,0.05700730641684961,609.9527851318801
